,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Density of Water Values (g cm-3),,,,,,,,Values are taken from Supcrt92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,0.921,0.934,0.946,0.957,0.967,0.977,0.986,0.995,1.003,1.011,1.019,1.027,1.034,1.041,1.048,1.054,1.061,1.067,1.073,1.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,170,0.912,0.925,0.938,0.949,0.960,0.970,0.979,0.988,0.997,1.005,1.013,1.020,1.028,1.035,1.042,1.048,1.055,1.061,1.067,1.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,0.907,0.921,0.933,0.945,0.956,0.966,0.975,0.985,0.993,1.002,1.010,1.017,1.025,1.032,1.039,1.045,1.052,1.058,1.064,1.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,0.902,0.916,0.929,0.941,0.952,0.962,0.972,0.981,0.990,0.998,1.006,1.014,1.021,1.029,1.036,1.042,1.049,1.055,1.062,1.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,190,0.892,0.907,0.920,0.932,0.944,0.954,0.964,0.974,0.983,0.991,1.000,1.007,1.015,1.022,1.030,1.036,1.043,1.050,1.056,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,0.881,0.897,0.911,0.924,0.935,0.946,0.957,0.966,0.976,0.984,0.993,1.001,1.009,1.016,1.023,1.030,1.037,1.044,1.050,1.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,210,0.870,0.887,0.902,0.915,0.927,0.938,0.949,0.959,0.968,0.977,0.986,0.994,1.002,1.010,1.017,1.024,1.031,1.038,1.044,1.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,0.859,0.876,0.892,0.906,0.918,0.930,0.941,0.951,0.961,0.970,0.979,0.988,0.996,1.003,1.011,1.018,1.025,1.032,1.039,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,225,0.853,0.871,0.887,0.901,0.914,0.926,0.937,0.947,0.957,0.967,0.976,0.984,0.992,1.000,1.008,1.015,1.022,1.029,1.036,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,0.847,0.866,0.882,0.896,0.909,0.922,0.933,0.944,0.954,0.963,0.972,0.981,0.989,0.997,1.005,1.012,1.019,1.026,1.033,1.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,0.834,0.854,0.871,0.887,0.900,0.913,0.925,0.936,0.946,0.956,0.965,0.974,0.982,0.990,0.998,1.006,1.013,1.020,1.027,1.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,0.821,0.843,0.861,0.877,0.891,0.904,0.916,0.928,0.938,0.948,0.958,0.967,0.975,0.984,0.992,0.999,1.007,1.014,1.021,1.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,260,0.807,0.830,0.850,0.867,0.882,0.895,0.908,0.919,0.930,0.941,0.950,0.960,0.969,0.977,0.985,0.993,1.001,1.008,1.015,1.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270,0.793,0.818,0.838,0.856,0.872,0.886,0.899,0.911,0.922,0.933,0.943,0.953,0.962,0.970,0.979,0.987,0.995,1.002,1.009,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,275,0.785,0.811,0.833,0.851,0.867,0.881,0.895,0.907,0.918,0.929,0.939,0.949,0.958,0.967,0.975,0.984,0.991,0.999,1.006,1.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,0.777,0.805,0.827,0.845,0.862,0.877,0.890,0.903,0.914,0.925,0.936,0.945,0.955,0.964,0.972,0.980,0.988,0.996,1.003,1.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,0.761,0.791,0.815,0.834,0.852,0.867,0.881,0.894,0.906,0.918,0.928,0.938,0.948,0.957,0.966,0.974,0.982,0.990,0.997,1.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,0.743,0.777,0.802,0.823,0.841,0.858,0.872,0.886,0.898,0.910,0.921,0.931,0.941,0.950,0.959,0.967,0.976,0.984,0.991,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,310,0.724,0.762,0.789,0.812,0.831,0.848,0.863,0.877,0.890,0.902,0.913,0.923,0.933,0.943,0.952,0.961,0.969,0.977,0.985,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,320,0.704,0.746,0.776,0.800,0.820,0.838,0.854,0.868,0.881,0.894,0.905,0.916,0.926,0.936,0.945,0.954,0.963,0.971,0.979,0.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,325,0.693,0.738,0.769,0.794,0.814,0.833,0.849,0.863,0.877,0.889,0.901,0.912,0.923,0.932,0.942,0.951,0.960,0.968,0.976,0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,330,0.681,0.729,0.762,0.788,0.809,0.827,0.844,0.859,0.873,0.885,0.897,0.908,0.919,0.929,0.938,0.948,0.956,0.965,0.973,0.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,340,0.655,0.712,0.748,0.775,0.798,0.817,0.834,0.850,0.864,0.877,0.889,0.901,0.912,0.922,0.932,0.941,0.950,0.958,0.967,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,0.626,0.693,0.733,0.762,0.786,0.806,0.824,0.841,0.855,0.869,0.881,0.893,0.904,0.915,0.925,0.934,0.943,0.952,0.960,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,360,0.589,0.674,0.717,0.749,0.774,0.796,0.814,0.831,0.846,0.860,0.873,0.885,0.897,0.907,0.918,0.927,0.937,0.946,0.954,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370,0.540,0.652,0.701,0.735,0.762,0.785,0.804,0.822,0.837,0.852,0.865,0.878,0.889,0.900,0.911,0.921,0.930,0.939,0.948,0.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,0.505,0.641,0.693,0.729,0.756,0.779,0.799,0.817,0.833,0.848,0.861,0.874,0.885,0.897,0.907,0.917,0.927,0.936,0.945,0.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,380,0.450,0.630,0.685,0.722,0.750,0.774,0.794,0.812,0.828,0.843,0.857,0.870,0.882,0.893,0.904,0.914,0.924,0.933,0.942,0.950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,390,0.216,0.605,0.667,0.707,0.738,0.762,0.784,0.802,0.819,0.835,0.849,0.862,0.874,0.886,0.897,0.907,0.917,0.926,0.935,0.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,0.167,0.578,0.649,0.693,0.725,0.751,0.773,0.793,0.810,0.826,0.840,0.854,0.866,0.878,0.889,0.900,0.910,0.920,0.929,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,410,0.145,0.548,0.630,0.678,0.712,0.739,0.763,0.783,0.801,0.817,0.832,0.846,0.859,0.871,0.882,0.893,0.904,0.913,0.923,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,420,0.132,0.516,0.611,0.662,0.699,0.728,0.752,0.773,0.791,0.808,0.824,0.838,0.851,0.864,0.875,0.886,0.897,0.907,0.916,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,425,0.127,0.498,0.601,0.654,0.692,0.722,0.746,0.768,0.787,0.804,0.819,0.834,0.847,0.860,0.872,0.883,0.893,0.904,0.913,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,430,0.122,0.480,0.590,0.646,0.685,0.716,0.741,0.763,0.782,0.799,0.815,0.830,0.843,0.856,0.868,0.879,0.890,0.900,0.910,0.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,440,0.115,0.442,0.569,0.630,0.672,0.704,0.730,0.753,0.773,0.791,0.807,0.822,0.836,0.849,0.861,0.872,0.883,0.894,0.904,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450,0.109,0.402,0.547,0.614,0.658,0.692,0.719,0.743,0.763,0.782,0.798,0.814,0.828,0.841,0.854,0.865,0.877,0.887,0.897,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,460,0.104,0.364,0.525,0.597,0.644,0.679,0.708,0.732,0.754,0.773,0.790,0.805,0.820,0.834,0.846,0.858,0.870,0.881,0.891,0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,470,0.100,0.330,0.502,0.580,0.630,0.667,0.697,0.722,0.744,0.764,0.781,0.797,0.812,0.826,0.839,0.851,0.863,0.874,0.885,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,475,0.098,0.315,0.490,0.571,0.623,0.661,0.691,0.717,0.739,0.759,0.777,0.793,0.808,0.822,0.836,0.848,0.860,0.871,0.881,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,480,0.096,0.301,0.479,0.563,0.616,0.655,0.686,0.712,0.734,0.755,0.773,0.789,0.804,0.819,0.832,0.844,0.856,0.868,0.878,0.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,490,0.093,0.277,0.456,0.546,0.601,0.642,0.674,0.701,0.725,0.746,0.764,0.781,0.797,0.811,0.825,0.837,0.849,0.861,0.872,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,0.090,0.257,0.433,0.528,0.587,0.630,0.663,0.691,0.715,0.736,0.756,0.773,0.789,0.804,0.817,0.830,0.843,0.854,0.865,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,510,0.087,0.240,0.411,0.511,0.573,0.617,0.652,0.681,0.706,0.727,0.747,0.765,0.781,0.796,0.810,0.823,0.836,0.848,0.859,0.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,0.085,0.226,0.391,0.494,0.558,0.605,0.641,0.671,0.696,0.718,0.738,0.757,0.773,0.789,0.803,0.816,0.829,0.841,0.853,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,525,0.084,0.220,0.381,0.485,0.551,0.598,0.635,0.665,0.691,0.714,0.734,0.753,0.769,0.785,0.799,0.813,0.826,0.838,0.850,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530,0.083,0.215,0.371,0.477,0.544,0.592,0.630,0.660,0.686,0.709,0.730,0.748,0.765,0.781,0.796,0.810,0.822,0.835,0.846,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,540,0.081,0.204,0.353,0.460,0.530,0.580,0.618,0.650,0.677,0.700,0.721,0.740,0.758,0.774,0.789,0.803,0.816,0.828,0.840,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,550,0.079,0.196,0.337,0.444,0.516,0.567,0.607,0.640,0.667,0.692,0.713,0.732,0.750,0.766,0.781,0.796,0.809,0.822,0.834,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,560,0.077,0.188,0.322,0.429,0.502,0.555,0.596,0.630,0.658,0.683,0.705,0.724,0.742,0.759,0.774,0.789,0.802,0.815,0.827,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,570,0.075,0.181,0.308,0.414,0.489,0.543,0.585,0.620,0.649,0.674,0.696,0.716,0.735,0.752,0.767,0.782,0.796,0.809,0.821,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,575,0.074,0.178,0.302,0.407,0.482,0.537,0.580,0.615,0.644,0.669,0.692,0.712,0.731,0.748,0.764,0.778,0.792,0.805,0.818,0.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,580,0.074,0.175,0.295,0.400,0.476,0.531,0.575,0.610,0.639,0.665,0.688,0.708,0.727,0.744,0.760,0.775,0.789,0.802,0.815,0.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,590,0.072,0.169,0.284,0.387,0.463,0.520,0.564,0.600,0.630,0.656,0.680,0.700,0.719,0.737,0.753,0.768,0.782,0.796,0.809,0.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600,0.071,0.164,0.274,0.374,0.451,0.508,0.553,0.590,0.621,0.648,0.671,0.693,0.712,0.730,0.746,0.761,0.776,0.789,0.802,0.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,610,0.069,0.159,0.264,0.362,0.439,0.497,0.543,0.580,0.612,0.639,0.663,0.685,0.704,0.722,0.739,0.755,0.769,0.783,0.796,0.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,620,0.068,0.155,0.256,0.351,0.427,0.486,0.533,0.571,0.603,0.631,0.655,0.677,0.697,0.715,0.732,0.748,0.763,0.777,0.790,0.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,625,0.068,0.153,0.252,0.345,0.422,0.481,0.528,0.566,0.598,0.626,0.651,0.673,0.693,0.712,0.729,0.745,0.760,0.774,0.787,0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,630,0.067,0.151,0.248,0.340,0.416,0.476,0.523,0.561,0.594,0.622,0.647,0.669,0.690,0.708,0.725,0.741,0.756,0.771,0.784,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,640,0.066,0.147,0.240,0.330,0.406,0.465,0.513,0.552,0.585,0.614,0.639,0.662,0.682,0.701,0.719,0.735,0.750,0.764,0.778,0.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,650,0.065,0.144,0.234,0.321,0.395,0.455,0.503,0.543,0.577,0.606,0.631,0.654,0.675,0.694,0.712,0.728,0.744,0.758,0.772,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,660,0.064,0.141,0.227,0.312,0.386,0.445,0.494,0.534,0.568,0.598,0.624,0.647,0.668,0.687,0.705,0.722,0.737,0.752,0.766,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,670,0.063,0.138,0.222,0.304,0.376,0.436,0.485,0.525,0.560,0.590,0.616,0.640,0.661,0.680,0.699,0.715,0.731,0.746,0.760,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,675,0.062,0.136,0.219,0.300,0.372,0.431,0.480,0.521,0.556,0.586,0.612,0.636,0.657,0.677,0.695,0.712,0.728,0.743,0.757,0.770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,680,0.062,0.135,0.216,0.296,0.368,0.427,0.476,0.517,0.552,0.582,0.608,0.632,0.654,0.674,0.692,0.709,0.725,0.740,0.754,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,690,0.061,0.132,0.211,0.289,0.359,0.418,0.467,0.508,0.544,0.574,0.601,0.625,0.647,0.667,0.685,0.703,0.719,0.734,0.748,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,700,0.060,0.130,0.206,0.282,0.351,0.410,0.459,0.500,0.536,0.566,0.594,0.618,0.640,0.660,0.679,0.696,0.713,0.728,0.742,0.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,710,0.059,0.127,0.202,0.276,0.343,0.402,0.451,0.492,0.528,0.559,0.586,0.611,0.633,0.654,0.673,0.690,0.707,0.722,0.737,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,720,0.058,0.125,0.197,0.270,0.336,0.394,0.443,0.484,0.520,0.552,0.579,0.604,0.627,0.647,0.666,0.684,0.701,0.716,0.731,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,725,0.058,0.124,0.195,0.267,0.333,0.390,0.439,0.481,0.517,0.548,0.576,0.601,0.623,0.644,0.663,0.681,0.698,0.713,0.728,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,730,0.058,0.123,0.193,0.264,0.329,0.386,0.435,0.477,0.513,0.544,0.572,0.597,0.620,0.641,0.660,0.678,0.695,0.710,0.725,0.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,740,0.057,0.121,0.190,0.259,0.323,0.379,0.428,0.469,0.506,0.537,0.565,0.591,0.614,0.635,0.654,0.672,0.689,0.705,0.720,0.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
